"affiliation","email","country"
"","",""
"","",""
"assistant professor, department of botany, srikaliswari college, sivakasi","",""
"assistant professor, virginia tech","@vt.edu","us"
"associate professor of audiology, university of kansas medical center","@kumc.edu","us"
"associate professor of building science,south china university of technology","@scut.edu.cn","cn"
"beijing university of posts and telecommunications","@bupt.edu.cn","cn"
"centre paul strauss/strasbourg university, france","@strasbourg.unicancer.fr","fr"
"centro studi gised, bergamo","@gised.it","it"
"dean, school of medicine, university of colorado","@cuanschutz.edu","us"
"department of ocean engineering, pukyong national university","@pknu.ac.kr","kr"
"department of physics, university of rajasthan, jaipur","","in"
"duke-nus medical school","@duke-nus.edu.sg","sg"
"founder/consultant with data tecnica international to the laboratory of neurogenetics, nia …","@mail.nih.gov",""
"garvan institute of medical research","@garvan.org.au","au"
"jiangsu university","","cn"
"la jolla institute for immunology. university of california san diego, california, usa.","@lji.org","us"
"national drug and alcohol research centre, unsw","@unsw.edu.au","au"
"national research council canada","","ca"
"paediatric orthopaedic & spine surgeon","@singhealth.com.sg","sg"
"phd, iit patna, india","@iitp.ac.in","in"
"prof. neuropsychology, university zurich","@uzh.ch","ch"
"professor of biosystems","@uaq.mx","mx"
"professor of economics, texas a&m university","@tamu.edu","us"
"professor of molecular virology","",""
"professor, the university of texas at san antonio","@utsa.edu","us"
"psychiatrische universitätsklinik zürich","@puk.zh.ch","ch"
"queensland university of technology","@qut.edu.au","au"
"research staff member, ibm research","@us.ibm.com","om"
"researcher, department of biological and environmental sciences, university of …","@bioenv.gu.se","se"
"senior lecturer, university of edinburgh","@ed.ac.uk","uk"
"shandong university","","cn"
"stanford university","@stanford.edu","us"
"sun yat-sen university","@mail.sysu.edu.cn","cn"
"syracuse university","@maxwell.syr.edu","us"
"the chinese university of hong kong","@cuhk.edu.hk","hk"
"universiteit antwerpen","@UAntwerpen.be","be"
"university of california at davis","@ucdavis.edu","us"
"university of kentucky","@uky.edu","us"
"university of massachusetts amherst","@econs.umass.edu","us"
"western michigan university","@wmich.edu","us"
