corpus_author_id,name,num_citations,num_papers,i10,h_index,h_class
50240353,Badder Marzocchi,4653,522,102,30,H
26971991,Patrick Fontana,133,72,4,7,L
5527266,Firdevs Örnek,67,66,1,5,L
144886693,Prashant Kumar Singh,3773,45,14,14,H
40552524,Jacqueline Day,186,6,3,5,L
32761043,Richard E. Petty,32092,431,247,82,H
1381968307,Lawrence A. Wade,3570,100,30,20,H
83256990,Tawfik Ahmed Muthafer Khoja,3115,11,5,7,L
145915159,Ricardo Orozco,709,7,5,6,L
144869300,Jianxing He,2579,289,64,24,H
32861674,Yana C Vierboom,32,12,1,3,L
145187595,Hang Wong,1758,159,45,26,H
30087560,Xiao-Shuang Zheng,1248,7,5,5,L
144198585,Marilyn Tremaine,1750,98,30,22,H
31590004,Sharon Robey,50,3,2,2,L
1759010,Eric A. Brewer,13872,240,137,60,H
36123378,Edmilson José Tonelli Manganote,742,303,25,16,H
143825130,Katherine L. Byrne,1,14,0,1,L
78638375,Heinz Schuler,853,122,20,14,H
46274872,Charles Curtis Eriksen,2447,92,37,22,H
8054894,Emil R. Rodolfa,963,61,25,18,H
147075306,Jing Gu,48,31,1,5,L
1403373208,Rinat Armony-Sivan,383,14,8,8,L
1423021547,Michele Gold-Morgan,7,4,0,2,L
37662686,Tetsuya Tsurumi,318,58,6,8,L
118208556,Zsuzsanna Ajtony,10,17,0,2,L
4351220,Mathieu Remazeilles,5159,239,60,29,H
101281903,Martin Kirakosyan,1486,235,32,18,H
114973370,N A Levi,1339,5,5,5,L
93992495,C. C. Downie,0,3,0,1,L
144733293,Roger Fletcher,8131,134,49,32,H
77665848,Timothy M. Uyeki,743,14,7,7,L
3828009,Miguel M. Unzueta,607,42,17,14,H
48157836,Ivaylo P. Ivanov,111,37,2,5,L
72188475,Zi-wei Hu,101,7,1,3,L
102309150,Hengne Li,3554,408,89,25,H
3860387,V. Tcherniatine,1912,38,14,12,H
49228525,Meng Xiao,6934,512,120,33,H
1678328,Wolfgang Prinz,1513,89,22,19,H
144434734,Matti Hämäläinen,8521,305,90,40,H
38774434,Seung-Tae Ko,370,26,5,7,L
144874832,Mugen Peng,6310,444,103,36,H
2952140,Jiansen Li,130,15,2,6,L
4734872,Diane Whitmore Schanzenbach,1117,38,11,11,H
100670349,Mia Tosi,6034,569,130,35,H
1390132140,Youssef Ibrahim Haggag,0,1,0,1,L
144702469,Lei Zheng,1600,162,37,18,H
35162690,Simon Seif,43,6,1,3,L
103821210,Abdunnur S. Suleiman,2,2,0,1,L
9211244,Chung-Kwang Chou,320,35,13,12,H
145864915,Juan Colmenares,289,32,10,10,H
98212058,Winnie Daamen,1817,188,50,21,H
33483349,Ralf Moos,1935,747,60,19,H
1767402,Xiaolan Zhang,10344,91,52,38,H
37471458,Audrey L Jenkins,38,3,2,2,L
144239558,Ming Wei,1347,455,29,15,H
31682694,Michael W Lu,1221,10,5,6,L
33303951,Darlene A Weston,413,36,11,11,H
47437200,Kuresh A. Youdim,1995,21,19,19,H
39587245,Brian S. Lowery,1240,42,21,17,H
4375836,Susan L Averett,1197,103,30,16,H
2487014,Yu Feng,3158,749,69,21,H
1970566,Christian Rössel,777,16,9,9,L
114360953,Mo Alkaysi,37,4,1,4,L
2274382,Lara A. Boyd,4698,213,101,39,H
91633211,Kenneth Pearlman,895,37,13,12,H
50660128,Stuart G. Coles,509,11,6,7,L
2317658,Rainer Bartoldus,12952,1124,239,49,H
50458064,Sravanthi Reddy,297,42,13,12,H
1410936175,Li Li-li,6,62,0,2,L
33230432,Pei-Yu Chiang,41,15,2,3,L
145437324,A. J. Leonard,216,10,5,5,L
50196944,Judy Hoffman,7884,60,39,29,H
4803385,Christine Purdon,1747,76,29,20,H
49177502,Haiping Chen,256,13,3,4,L
144155295,Tyson Michael Roberts,28,14,1,3,L
1604779278,She Jiatong,2,1,0,1,L
144970557,Helmut G. Alt,247,441,3,8,L
116841742,Antonis Agapitos,4055,431,87,27,H
39238359,Louise Stoll,4419,209,55,26,H
3593895,Rudolf P. Bohm,798,67,23,15,H
39749192,Kevin Meinert,402,10,2,5,L
145994535,Beniko Mason,360,18,5,6,L
122112922,Xiao-jun Wu,87,14,3,3,L
14147626,Majid Haj Abbasi,10,1,1,1,L
6348621,Matthew M Heeney,1713,111,38,21,H
6090450,Patrick T Mather,2538,244,66,25,H
2123865,Frederick Tung,501,63,19,13,H
2008655,Catrin Misselhorn,76,41,2,4,L
3696510,Dana K. Andersen,4492,185,75,29,H
152397486,Anna Colaleo,7017,831,152,37,H
35146658,Kristin L. Kirkpatrick,1187,8,4,4,L
144713524,Andrew Morrison,752,83,20,15,H
145712120,Chia-Cheng Chou,731,67,21,15,H
46336310,Edgar R. Black,790,17,7,8,L
1981455,Cheikh Mbow,2329,77,38,24,H
104454742,Alice Cocoros,1791,366,53,21,H
1699037,Bin Wu,2901,351,78,27,H
145931620,H. K. Lin,140,10,1,2,L
116376080,Manchester City Art Gallery,21,15,1,3,L
144848951,Joseph Bonneau,4542,104,53,31,H
144248892,Charles Spence,5823,466,139,41,H
11541898,Mika Ohta,136,27,4,6,L
51364807,Jesse Wagner,81,35,2,3,L
49543384,Xiao Lin Liu,1490,34,13,12,H
46997370,Ronald E. Goldsmith,7272,232,100,43,H
3051132,Guang-Jie Ren,248,25,9,9,L
145443952,Giovanni Chiefari,8309,382,118,40,H
116035738,M. Edwin Agwu,112,21,5,7,L
4063044,John S. Carson,2917,53,12,12,H
11951365,Zeshi Li,89,7,3,6,L
7282805,Stephen G. Waller,3729,58,10,10,H
1396190563,Roberto Rodríguez-Roisin,13078,185,78,35,H
34384210,Samir S Soneji,7558,94,42,26,H
49130504,Claire E. Adams,1246,38,16,12,H
122484563,Adeghe Raph,1,2,0,1,L
144727976,Mahmoud Ismail,566,74,8,10,H
6078103,G. D. Imes,152,27,6,8,L
153495804,Juan Ignacio Iturrioz Sánchez,85,18,2,3,L
91492918,Berta Bekti Retnawati,11,23,0,3,L
118090841,Abdullah Fawzi Khorshid,8,3,0,2,L
6173041,David Romero Abad,1991,266,67,22,H
48062912,Giovanni Crespi,65,12,1,3,L
145174228,Jodi Forlizzi,10863,230,127,55,H
6456535,Takehiko Takatori,862,191,24,13,H
2407129,Inge Geyskens,2847,58,21,17,H
92407861,John L. Campbell,3270,211,42,21,H
145873345,Rodney D. Phoenix,275,29,10,10,H
47540993,Masaaki Kimura,2265,222,15,14,H
118952383,David Feeny,1547,43,8,9,L
7385635,Xiaobing Deng,1279,39,20,16,H
1491090296,Boxi Liu,1152,1,1,1,L
143786001,Viswanathan Mohan,5839,64,33,22,H
48058907,Iddo Friedberg,2577,47,15,13,H
48124116,Brian A. Mcnulty,966,18,4,6,L
47369824,Jody Heymann,841,111,24,17,H
79109426,Alison J. Ross,447,41,8,9,L
5667927,Tomas G M Hökfelt,28089,1234,656,74,H
145324163,Paul McNamee,3961,246,93,35,H
40611236,Alison Dixon,7,5,0,2,L
2181970,Yasumasa Ohyagi,1198,150,37,19,H
48670684,Xiaotian Xu,104,22,2,3,L
1637350987,Rebecca Fineman,62,1,1,1,L
2535887,Bryan Seybold,881,16,8,8,L
121312920,Mary Fairchok,37,4,2,3,L
8100157,Bahaa I. Kazem,32,5,1,2,L
8456679,Athina Thanou,41,8,2,5,L
1414027076,Juan A. Garcia-Manrique,44,18,1,3,L
6929575,Hossein Moayedi,819,121,26,15,H
10142329,Gary Kochert,3189,91,49,29,H
144901480,Mareva Foster,723,14,6,8,L
1399486062,Renate Klempien-Hinrichs,84,27,2,6,L
6715154,Kunihiro Ohta,2442,164,60,27,H
80574665,Can Deniz Köksal,82,15,2,5,L
144988716,Rongxing Lu,10082,337,159,51,H
3985879,Yanchen Zhou,359,24,11,11,H
1422312353,Kjetill Høydal,579,1,1,1,L
34958344,Aya Yanagawa,311,24,10,10,H
6748997,Frank Chlebana,10552,1105,184,39,H
51511078,Doug Reid,136,36,5,7,L
100773607,罗时睿,0,4,0,1,L
143855206,Charles Thomas Eagle,1204,26,3,6,L
144719934,Mark Hills,387,51,17,13,H
10025541,Patricia Marchak,866,32,5,7,L
4263752,Graham A. Tipples,2737,84,37,23,H
3487593,Lilian N. Dindo,521,57,11,11,H
122822483,Diego Mart nez Gonz lez,0,1,0,1,L
150357254,Zhi-hua Liu,99,15,2,4,L
96201562,Lucia Silvestris,10270,900,155,38,H
49678782,Ziyad Alharbi,83,9,2,5,L
3450459,James S. Sims,449,54,7,8,L
46409511,Paula Pezzuto,128,8,5,5,L
2657758,Adam J. Kucharski,1632,160,43,20,H
1707871,Wolfgang Ludwig Gross,10930,635,215,53,H
4729444,Negar Morovatdar,43,39,0,4,L
35100474,Noe L. Charbonneau,975,30,17,15,H
6198784,Blazej Zbytek,1802,59,33,24,H
35432937,Marco Toliman Lucchini,4546,504,105,30,H
70044746,穆宝忠,5,17,0,2,L
9106757,Daniel A. Keim,18472,657,256,56,H
5745883,Katsuyoshi Suzuki,494,71,8,10,H
113037738,Peter Laugesen,214,11,2,4,L
6861292,Liesi E. Hebert,12015,70,55,40,H
1769461,Raghu Krishnapuram,6517,168,78,37,H
2729443,Sebastian Raisch,1863,107,17,13,H
34634797,Nobutaka Hattori,12146,711,226,47,H
143942869,Dong Hyun Yoon,150,60,4,8,L
4925825,Surendra S Ambegaokar,1073,7,5,6,L
32083583,Juhani Kauppi,25,2,1,1,L
81996599,Carolyn Kisner,631,9,2,3,L
6999264,Hui-Ling Yen,2828,101,49,26,H
3072426,David Fifield,424,23,8,10,H
80170558,Sung-Pil Woo,18,4,1,2,L
4694086,Grzegorz Bednarczuk,46,17,1,3,L
145872433,Sally A. Miller,899,85,22,16,H
1408106943,Clemens Tesch-Römer,3516,87,6,7,L
9520362,Amy K. Rines,259,25,7,8,L
1688764,Peggy A. Ertmer,5266,73,33,22,H
144782176,Baozhen Shan,2,6,0,2,L
4056872,Riccardo Bartoletti,2147,308,62,24,H
144174385,Javier Martín Blanco,1455,209,48,22,H
6046180,Sophie Ismael,71,8,3,4,L
6394292,Rashmikant V. Sudiwala,3854,145,39,22,H
